id,shortWording,fullWording
1,Talkative,I see myself as someone who is talkative
2,A Fault Finder,I see myself as someone who tends to find fault with others
3,Thorough,I see myself as someone who does a thorough job
4,Depressed,I see myself as someone who is depressed - blue
5,Original,I see myself as someone who is original - comes up with new ideas
6,Reserved,I see myself as someone who is reserved
7,Helpful,I see myself as someone who is helpful and unselfish with others
8,Careless,I see myself as someone who can be somewhat careless
9,Relaxed,I see myself as someone who is relaxed - handles stress well
10,Curious,I see myself as someone who is curious about many different things
11,Energetic,I see myself as someone who is full of energy
12,Quarrelsome,I see myself as someone who starts quarrels with others
13,Reliable,I see myself as someone who is a reliable worker
14,Tense,I see myself as someone who can be tense
15,Ingenious,I see myself as someone who is ingenious - a deep thinker
16,Enthusiastic,I see myself as someone who generates a lot of enthusiasm
17,Forigiving,I see myself as someone who has a forgiving nature
18,Disorganized,I see myself as someone who tends to be disorganized
19,Worrisome,I see myself as someone who worries a lot
20,Imaginative,I see myself as someone who has an active imagination
21,Quiet,I see myself as someone who tends to be quiet
22,Trusting,I see myself as someone who is generally trusting
23,Lazy,I see myself as someone who tends to be lazy
24,Emotionally Stable,I see myself as someone who is emotionally stable - not easily upset
25,Inventive,I see myself as someone who is inventive
26,Assertive,I see myself as someone who has an assertive personality
27,Cold,I see myself as someone who can be cold and aloof
28,Persevering,I see myself as someone who perseveres until the task is finished
29,Moody,I see myself as someone who can be moody
30,Artisitic,I see myself as someone who values artistic - aesthetic experiences
31,Shy,I see myself as someone who is sometimes shy -  inhibited
32,Considerate,I see myself as someone who is considerate and kind to almost everyone
33,Efficient,I see myself as someone who does things efficiently
34,Unflappable,I see myself as someone who remains calm in tense situations
35,Preferring Routine,I see myself as someone who prefers work that is routine
36,Outgoing,I see myself as someone who is outgoing - sociable
37,Rude,I see myself as someone who is sometimes rude to others
38,A Plan Keeper,I see myself as someone who makes plans and follows through with them
39,Nervous,I see myself as someone who gets nervous easily
40,Reflective,I see myself as someone who likes to reflect - play with ideas
41,Unartistic,I see myself as someone who has few artistic interests
42,Cooperative,I see myself as someone who likes to cooperate with others
43,Distracted,I see myself as someone who is easily distracted
44,Artistically Sophisticated,I see myself as someone who is sophisticated in art music or literature