id,shortWording,fullWording,category 
1,Talkative,I see myself as someone who is talkative,E 
2,A Fault Finder,I see myself as someone who tends to find fault with others,A*
3,Thorough,I see myself as someone who does a thorough job,C
4,Depressed,I see myself as someone who is depressed - blue,N
5,Original,I see myself as someone who is original - comes up with new ideas,O
6,Reserved,I see myself as someone who is reserved,E*
7,Helpful,I see myself as someone who is helpful and unselfish with others,A
8,Careless,I see myself as someone who can be somewhat careless,C* 
9,Relaxed,I see myself as someone who is relaxed - handles stress well,N*
10,Curious,I see myself as someone who is curious about many different things,O
11,Energetic,I see myself as someone who is full of energy,E
12,Quarrelsome,I see myself as someone who starts quarrels with others,A* 
13,Reliable,I see myself as someone who is a reliable worker,C 
14,Tense,I see myself as someone who can be tense,N
15,Ingenious,I see myself as someone who is ingenious - a deep thinker,O
16,Enthusiastic,I see myself as someone who generates a lot of enthusiasm,E
17,Forigiving,I see myself as someone who has a forgiving nature,A
18,Disorganized,I see myself as someone who tends to be disorganized,C* 
19,Worrisome,I see myself as someone who worries a lot,N
20,Imaginative,I see myself as someone who has an active imagination,O
21,Quiet,I see myself as someone who tends to be quiet,E*
22,Trusting,I see myself as someone who is generally trusting,A
23,Lazy,I see myself as someone who tends to be lazy,C* 
24,Emotionally Stable,I see myself as someone who is emotionally stable - not easily upset,N*
25,Inventive,I see myself as someone who is inventive,O
26,Assertive,I see myself as someone who has an assertive personality,E
27,Cold,I see myself as someone who can be cold and aloof,A*
28,Persevering,I see myself as someone who perseveres until the task is finished,C
29,Moody,I see myself as someone who can be moody,N
30,Artisitic,I see myself as someone who values artistic - aesthetic experiences,O
31,Shy,I see myself as someone who is sometimes shy -  inhibited,E*
32,Considerate,I see myself as someone who is considerate and kind to almost everyone,A
33,Efficient,I see myself as someone who does things efficiently,C
34,Unflappable,I see myself as someone who remains calm in tense situations,N*
35,Preferring Routine,I see myself as someone who prefers work that is routine,O*
36,Outgoing,I see myself as someone who is outgoing - sociable,E
37,Rude,I see myself as someone who is sometimes rude to others,A*
38,A Plan Keeper,I see myself as someone who makes plans and follows through with them,C
39,Nervous,I see myself as someone who gets nervous easily,N
40,Reflective,I see myself as someone who likes to reflect - play with ideas,O
41,Unartistic,I see myself as someone who has few artistic interests,O*
42,Cooperative,I see myself as someone who likes to cooperate with others,A
43,Distracted,I see myself as someone who is easily distracted,C*
44,Artistically Sophisticated,I see myself as someone who is sophisticated in art music or literature,O